ptID,sim_alpha_plus,sim_alpha_minus,fit_alpha_plus,fit_alpha_minus
201810,0.08,0.2,0.06,0.27
201811,0.55,0.44,0.39,0.31
201901,0.46,0.63,0.13,0.36
201902,0.38,0.41,0.5,0.5
201902r,0.29,0.5,0.46,0.53
201903,0.49,0.52,0.3,0.34
201905,0.53,0.11,0.44,0.13
201909,0.37,0.08,0.33,0.18
201910,0.57,0.68,0.57,0.52
201911,0.26,0.47,0.23,0.52
201913,0.38,0.6,0.08,0.66
201914,0.46,0.51,0.54,0.53
201915,0.32,0.31,0.1,0.47
202001,0.46,0.52,0.48,0.59
202002,0.49,0.55,0.55,0.65
202003,0.43,0.47,0.41,0.47
202004,0.45,0.3,0.5,0.32
202005,0.53,0.53,0.42,0.2
202006,0.38,0.13,0.19,0.3
202006u,0.48,0.56,0.39,0.24
202007,0.55,0.48,0.52,0.43
202008,0.28,0.3,0.15,0.19
202009,0.34,0.2,0.07,0.18
202011,0.4,0.3,0.3,0.54
202014,0.38,0.15,0.33,0.42
202015,0.3,0.67,0.5,0.5
202016,0.52,0.46,0.04,0.66
202105,0.47,0.52,0.54,0.28
202107,0.21,0.38,0.1,0.39
202110,0.59,0.03,0.07,0.13
202114,0.44,0.54,0.28,0.61
202117,0.53,0.49,0.75,0.01
202118,0.45,0.3,0.12,0.44
202201,0.43,0.45,0.11,0.41
202202,0.5,0.47,0.47,0.56
202205,0.05,0.24,0.06,0.23
202207,0.02,0.55,0.05,0.56
202208,0.41,0.57,0.48,0.5
202209,0.5,0.7,0.61,0.66
202212,0.55,0.46,0.23,0.49
202212b,0.52,0.54,0.46,0.34
202214,0.56,0.31,0.24,0.58
202215,0.52,0.5,0.34,0.2
202216,0.07,0.35,0.04,0.31
202217,0.15,0.77,0.62,0.7
202302,0.49,0.46,0.12,0.44
202306,0.08,0.29,0.08,0.3
202307,0.52,0.15,0.79,0.28
202308,0.1,0.21,0.1,0.31
202311,0.67,0.15,0.28,0.46
202314a,0.1,0.12,0.11,0.16
202314b,0.13,0.27,0.08,0.31
202401,0.07,0.32,0.06,0.26
202405,0.6,0.22,0.43,0.39
202406,0.6,0.58,0.53,0.01
202407,0.47,0.57,0.76,0.31
202408,0.47,0.45,0.05,0.12
202409,0.47,0.45,0.25,0.42
202413a,0.67,0.04,0.32,0.33
202413b,0.03,0.33,0.07,0.37
202414,0.48,0.31,0.28,0.33
202416,0.5,0.49,0.48,0.37
202417,0.41,0.56,0.54,0.48
202418,0.25,0.4,0.09,0.18
202418b,0.19,0.16,0.06,0.21
202421,0.52,0.4,0.33,0.35
202422,0.54,0.15,0.37,0.23
202501,0.44,0.12,0.27,0.42
202503,0.39,0.29,0.23,0.22
202504,0.41,0.06,0.71,0.1
202505,0.58,0.58,0.61,0.04
