ptID,sim_alpha_plus,sim_alpha_minus,fit_alpha_plus,fit_alpha_minus
201810,0.07,1,0.08,1
201811,0.02,0.49,0.02,0.48
201901,0.03,0.01,0.02,0.04
201902,0.06,0.1,0.01,0.39
201902r,0.04,0.01,0.02,0.08
201903,0.01,1,0.02,1
201905,0.01,1,0.01,1
201909,0.02,0.01,0.02,0.01
201910,0.02,0.01,0.02,0.01
201911,0.03,0.01,0.02,0.01
201913,0.02,1,0.02,0.78
201914,0.01,1,0.01,0.26
201915,0.06,1,0.05,1
202001,0.03,0.13,0.06,0.12
202002,0.03,0.29,0.02,0.57
202003,0.05,0.01,0.05,0.07
202004,0.04,0.01,0.01,0.01
202005,0.05,1,0.04,1
202006,0.04,0.01,0.05,0.01
202006u,0.02,0.01,0.01,0.01
202007,0.01,0.88,0.01,0.42
202008,0.05,0.16,0.04,0.32
202009,0.01,0.01,1,0.01
202011,0.05,0.01,0.01,0.05
202014,0.01,0.01,0.43,0.02
202015,0.02,0.01,0.01,0.01
202016,0.01,1,1,0.14
202105,0.02,0.01,1,0.02
202107,0.01,1,1,0.02
202110,0.01,0.01,0.39,0.01
202114,0.01,0.01,0.01,0.01
202117,0.01,0.52,1,0.01
202118,0.01,0.69,1,0.03
202201,0.03,0.01,0.19,0.02
202202,0.08,0.01,0.02,0.09
202205,0.02,0.55,1,0.03
202207,0.01,0.99,0.99,0.02
202208,0.01,0.87,0.79,0.02
202209,0.05,0.01,0.01,0.01
202212,0.04,0.01,0.11,0.04
202212b,0.01,0.01,0.01,0.01
202214,0.01,0.01,0.39,0.03
202215,0.01,0.84,0.57,0.05
202216,0.04,0.01,0.06,0.04
202217,0.01,0.47,0.45,0.05
202302,0.02,0.01,0.01,0.01
202306,0.01,0.25,0.43,0.01
202307,0.02,0.68,0.01,0.01
202308,0.01,0.23,0.51,0.01
202311,0.01,0.79,1,0.01
202314a,0.01,1,0.99,0.01
202314b,0.04,0.01,0.1,0.06
202401,0.02,0.01,0.95,0.04
202405,0.03,0.01,0.01,0.03
202406,0.01,0.72,1,0.02
202407,0.02,0.01,1,0.02
202408,0.01,0.27,0.47,0.01
202409,0.01,0.41,0.92,0.03
202413a,0.04,0.01,0.01,0.04
202413b,0.02,0.01,1,0.01
202414,0.01,0.01,0.5,0.03
202416,0.01,0.2,0.51,0.02
202417,0.04,0.01,0.24,0.01
202418,0.02,0.01,0.19,0.03
202418b,0.01,0.32,1,0.01
202421,0.02,0.01,0.01,0.02
202422,0.02,0.01,0.01,0.01
202501,0.01,0.93,0.53,0.01
202503,0.02,0.01,0.01,0.01
202504,0.03,0.01,0.01,0.03
202505,0.01,0.07,1,0.07
