ptID,sim_alpha_plus,sim_alpha_minus,fit_alpha_plus,fit_alpha_minus
201810,0.01,0.01,0.01,0.01
201811,0.01,0.01,0.01,0.01
201901,0.6599999999999999,0.02,0.9299999999999999,0.01
201902r,0.45,1.0,0.01,0.63
201902,0.03,0.89,0.01,0.75
201903,0.29000000000000004,0.86,1.0,1.0
201905,0.08,0.01,0.71,0.98
201909,0.54,0.01,0.02,0.98
201910,0.01,0.74,0.96,0.01
201911,0.01,0.84,0.01,0.01
201913,0.99,0.01,0.02,0.92
201914,0.01,0.86,0.01,0.01
201915,0.05,0.01,0.01,0.88
202001,1.0,1.0,0.01,0.88
202002,0.01,0.01,1.0,1.0
202003,0.7,0.01,0.01,0.69
202004,0.84,0.02,0.01,0.97
202005,0.26,0.01,0.01,0.01
202006u,0.32,0.01,0.01,1.0
202006,0.86,0.08,0.5,0.94
202007,0.01,0.9,0.01,0.01
202008,0.64,0.95,0.01,0.01
202009,0.01,0.01,0.02,0.85
202011,0.96,0.01,0.01,0.01
202014,0.02,0.79,0.56,0.01
202015,0.01,0.84,0.01,0.01
202016,0.060000000000000005,0.01,0.98,0.01
202105,0.01,0.01,0.9,0.63
202107,0.02,0.01,0.64,0.01
202110,0.44,0.01,0.01,0.59
202114,0.31,0.9,0.91,0.01
202117,0.01,0.01,0.04,0.01
202118,0.01,0.05,0.19,0.01
202201,0.45,0.96,0.84,1.0
202202,0.79,0.36000000000000004,0.01,0.01
202205,0.01,0.01,0.01,0.01
202207,0.63,0.35000000000000003,1.0,1.0
202208,0.01,0.01,0.01,0.76
202209,1.0,1.0,0.01,0.88
202212b,0.13,0.03,0.55,0.01
202212,0.36000000000000004,0.97,0.94,0.01
202214,0.41000000000000003,0.92,0.9,0.02
202215,0.01,0.01,0.5800000000000001,0.01
202216,0.01,0.94,0.01,0.99
202217,0.38,0.01,0.01,0.01
202302,0.88,0.25,0.01,0.6
202306,0.59,0.9299999999999999,0.88,0.02
202307,0.01,0.91,0.01,0.01
202308,0.9,0.09,0.03,0.92
202311,0.99,0.42000000000000004,0.8200000000000001,0.99
202314a,0.01,0.01,0.01,0.01
202314b,0.01,0.01,0.24000000000000002,0.01
202401,0.01,0.01,0.01,0.72
202405,0.01,0.9,0.01,0.01
202406,0.01,0.01,0.01,0.01
202407,0.02,0.01,0.01,0.99
202408,0.01,0.01,0.01,0.94
202409,0.8200000000000001,0.01,0.01,0.81
202413a,0.01,1.0,0.39,0.01
202413b,0.96,0.54,0.01,0.01
202414,0.73,0.01,0.02,0.75
202416,0.01,0.01,0.26,0.01
202417,0.73,0.5700000000000001,0.01,0.01
202418b,0.01,0.01,0.01,0.01
202418,0.01,0.01,0.01,0.01
202421,0.03,0.8,0.01,0.01
202422,0.01,0.94,0.01,0.01
202501,0.01,0.92,0.01,0.01
202503,1.0,0.97,0.78,0.02
202504,0.45,1.0,0.99,0.01
202505,0.01,0.01,0.05,0.01
