ptID,fit_alpha_plus,fit_alpha_minus,sim_alpha_plus,sim_alpha_minus
201810,0.01,0.72,0.01,0.74
201811,0.63,0.81,0.83,0.99
201901,0.01,0.13,0.03,0.11
201902r,0.05,0.24000000000000002,0.01,0.33
201902,0.04,0.52,0.01,0.38
201903,0.01,0.35000000000000003,0.01,0.36000000000000004
201905,1.0,0.35000000000000003,1.0,0.23
201909,1.0,0.19,0.94,0.17
201910,0.01,0.32,0.02,0.31
201911,0.01,0.02,0.01,0.01
201913,0.36000000000000004,0.08,0.28,0.12
201914,0.01,0.24000000000000002,0.01,0.24000000000000002
201915,0.01,0.37,0.01,0.37
202001,0.12,0.22,0.24000000000000002,0.21000000000000002
202002,0.25,0.16,0.01,0.25
202003,0.09999999999999999,0.17,0.04,0.2
202004,0.21000000000000002,0.11,0.01,0.03
202005,0.14,0.16,0.11,0.2
202006u,0.13,0.19,0.3,0.48000000000000004
202006,0.09999999999999999,0.14,0.06999999999999999,0.12
202007,0.47000000000000003,0.01,0.44,0.01
202008,0.19,0.13,0.13,0.16
202009,0.02,0.35000000000000003,0.01,0.36000000000000004
202011,0.17,0.11,0.12,0.14
202014,0.5700000000000001,0.09,0.09999999999999999,0.060000000000000005
202015,1.0,0.2,0.01,0.21000000000000002
202016,0.01,0.76,0.01,0.75
202105,0.01,0.01,0.32,0.71
202107,0.23,0.23,0.53,0.32
202110,1.0,0.41000000000000003,1.0,0.26
202114,0.01,0.3,0.04,0.27
202117,0.01,0.01,1.0,0.04
202118,0.6599999999999999,0.15000000000000002,0.5,0.12
202201,0.01,0.25,0.01,0.28
202202,0.060000000000000005,1.0,0.02,0.09999999999999999
202205,0.92,0.24000000000000002,1.0,0.17
202207,0.84,0.02,0.74,0.02
202208,0.14,0.06999999999999999,0.42000000000000004,0.09
202209,0.8200000000000001,0.01,0.51,0.01
202212b,0.31,1.0,0.18000000000000002,1.0
202212,0.03,0.27,0.05,0.19
202214,0.19,0.09999999999999999,0.29000000000000004,0.09
202215,0.17,0.21000000000000002,0.49,0.16
202216,0.08,0.060000000000000005,0.09,0.04
202217,1.0,0.25,0.97,0.15000000000000002
202302,0.01,0.21000000000000002,0.060000000000000005,0.11
202306,0.04,0.17,0.01,0.18000000000000002
202307,1.0,0.04,1.0,0.08
202308,0.75,0.23,0.97,0.04
202311,0.12,0.14,0.17,0.22
202314a,0.21000000000000002,0.09999999999999999,1.0,1.0
202314b,0.01,0.27,0.01,0.25
202401,0.22,0.17,0.09999999999999999,0.19
202405,0.01,0.04,0.01,0.05
202406,0.2,0.43,0.09999999999999999,0.38
202407,0.76,0.06999999999999999,0.35000000000000003,0.01
202408,1.0,0.41000000000000003,0.96,0.42000000000000004
202409,0.27,0.13,0.29000000000000004,0.09
202413a,0.04,0.14,0.01,0.14
202413b,0.12,0.21000000000000002,0.01,1.0
202414,0.55,0.04,0.88,0.01
202416,0.01,0.61,0.01,0.63
202417,0.01,0.2,0.03,0.16
202418b,1.0,0.01,0.18000000000000002,0.01
202418,0.54,0.25,0.59,0.81
202421,0.060000000000000005,0.01,0.01,0.02
202422,0.24000000000000002,0.14,0.09,0.22
202501,0.19,0.05,0.87,0.01
202503,0.26,0.14,0.21000000000000002,0.19
202504,0.01,0.09999999999999999,0.01,0.12
202505,0.42000000000000004,0.2,0.01,0.33
